date,isholiday,isweekend,weeknumber,title
02/01/2017,TRUE,FALSE,1,New Year's Day
14/04/2017,TRUE,TRUE,15,Good Friday
17/04/2017,TRUE,FALSE,16,Easter Monday
01/05/2017,TRUE,FALSE,18,May Day (Early May Bank Holiday)
29/05/2017,TRUE,FALSE,22,Spring Bank Holiday
28/08/2017,TRUE,FALSE,35,Summer Bank Holiday
25/12/2017,TRUE,FALSE,52,Christmas
26/12/2017,TRUE,FALSE,52,Boxing Day
01/01/2018,TRUE,FALSE,1,New Year's Day
30/03/2018,TRUE,TRUE,13,Good Friday
02/04/2018,TRUE,FALSE,14,Easter Monday
07/05/2018,TRUE,FALSE,19,May Day (Early May Bank Holiday)
28/05/2018,TRUE,FALSE,22,Spring Bank Holiday
27/08/2018,TRUE,FALSE,35,Summer Bank Holiday
25/12/2018,TRUE,FALSE,52,Christmas
26/12/2018,TRUE,FALSE,52,Boxing Day
01/01/2019,TRUE,FALSE,1,New Year's Day
19/04/2019,TRUE,TRUE,16,Good Friday
22/04/2019,TRUE,FALSE,17,Easter Monday
06/05/2019,TRUE,FALSE,19,May Day (Early May Bank Holiday)
27/05/2019,TRUE,FALSE,22,Spring Bank Holiday
26/08/2019,TRUE,FALSE,35,Summer Bank Holiday
25/12/2019,TRUE,FALSE,52,Christmas
26/12/2019,TRUE,FALSE,52,Boxing Day
01/01/2020,TRUE,FALSE,1,New Year's Day
10/04/2020,TRUE,TRUE,15,Good Friday
13/04/2020,TRUE,FALSE,16,Easter Monday
04/05/2020,TRUE,FALSE,19,May Day (Early May Bank Holiday)
25/05/2020,TRUE,FALSE,22,Spring Bank Holiday
31/08/2020,TRUE,FALSE,36,Summer Bank Holiday
25/12/2020,TRUE,TRUE,52,Christmas
28/12/2020,TRUE,FALSE,53,Boxing Day
